Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Brooklyn,Brighton Beach,4c9d5c0303133704a96f5ed5,Cafe At Your Mother-in-Law,29,7.5,28
Brooklyn,Prospect Heights,4fa162e0e4b0badc81404a51,Kimchi Grill,289,8.4,108
Brooklyn,Williamsburg,52bf3053498e754b09a440b5,Dotory,138,8.5,44
Manhattan,East Village,578bec6c498e3150fc369f3b,Thursday Kitchen,274,8.9,72
Manhattan,Manhattan Valley,56a14149498e9983c0199038,Mokja,23,7.9,6
Queens,Flushing,4ae39cb6f964a520439721e3,Debasaki,67,8.4,35
Queens,College Point,4d3c9f7ea2e4b1f707f4ea25,Sky Garden @ Spa Castle,17,7.8,4
Queens,Auburndale,4eefef69be7ba3ed7b202455,Arirang,21,8.6,13
Queens,Oakland Gardens,4c8adb923dc2a1cda816b132,Bi Won Korean Restaurant,21,7.7,8
Queens,Oakland Gardens,58efc04912c8f0495ec6865c,Chilsung Garden,15,7.5,1
Queens,Oakland Gardens,526c1acf11d288dc8354b7b9,Rolly Kimbab,26,7.3,9
Queens,Murray Hill,4b830e44f964a520ebf430e3,Hahm Ji Bach - 함지박,212,8.8,81
Queens,Murray Hill,4b8f0931f964a520d04533e3,Mapo BBQ,79,8.6,32
Queens,Murray Hill,49e10e0bf964a52089611fe3,Mad For Chicken,216,9.1,69
Queens,Murray Hill,4baeabe6f964a52037cd3be3,Kum Sung Chik Naengmyun,14,8.0,5
Queens,Murray Hill,4c7ad3dda86837048bee144d,Geo Si Gi Restaurant,33,7.8,12
Queens,Murray Hill,5518a1a8498e4c7fe6268b88,Jongro BBQ,48,7.8,7
Queens,Murray Hill,5590598a498eb1c3f975b6a6,Mr. Tofu,18,7.6,3
Queens,Murray Hill,56db53cc498eed9b68621019,SGD Tofu House,11,7.8,0
Queens,Murray Hill,4ad3bfabf964a52016e620e3,Han Joo,26,7.5,20
Manhattan,Midtown South,540f86da498e020149fa7676,Jongro BBQ,807,9.3,152
Manhattan,Midtown South,5c01ccc14ac28a002c3cbd8d,Anytime Soju Bar and Eatery,34,9.0,29
Manhattan,Midtown South,4a9d3c1af964a520ff3720e3,E-Mo Kimbap,108,8.8,42
Manhattan,Midtown South,517563f9498e0a4859d08fe4,BCD Tofu House,1198,9.0,199
Queens,Sunnyside Gardens,4c0c2765a1b32d7f49279cf0,Sik Gaek,77,8.3,42
Queens,Malba,4d3c9f7ea2e4b1f707f4ea25,Sky Garden @ Spa Castle,17,7.8,4
